"Concatenated","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CI01OR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Oil Refining"
"CI01PG","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Pottery Manufacturing"
"CI01PM","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Paper Mill"
"CI01PW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Printing Works"
"CI01YD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Shipyard"
"CI01SR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Sugar Refinery"
"CI01SW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Steel Works"
"CI01TL","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Timber Mill"
"CI01WN","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Winery"
"CI02","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine",""
"CI02MA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Mining / Active"
"CI02MD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Distribution / Storage"
"CI02MP","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Processing"
"CI02OA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Oil / Gas Extraction / Active"
"CI02QA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Quarrying / Open Extraction / Active"
"CI03","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Workshop / Light Industrial",""
"CI03GA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Workshop / Light Industrial","Servicing Garage"
"CI04","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot",""
"CI04CS","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Crop Handling / Storage"
"CI04PL","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Postal Sorting / Distribution"
"CI04SO","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Solid Fuel Storage"
"CI04TS","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Timber Storage"
"CI05","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Wholesale Distribution",""
"CI05SF","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Wholesale Distribution","Solid Fuel Distribution"
"CI05TD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Wholesale Distribution","Timber Distribution"
"CI06","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Recycling Plant",""
"CI07","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Incinerator / Waste Transfer Station",""
"CI08","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Maintenance Depot",""
"CL","Commercial","Leisure - Applicable to recreational sites and enterprises","",""
"CL01","Commercial","Leisure - Applicable to recreational sites and enterprises","Amusements",""
"CL01LP","Commercial","Leisure - Applicable to recreational sites and enterprises","Amusements","Leisure Pier"
"CL02","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite",""
"CL02CG","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Camping"
"CL02CV","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Caravanning"
"CL02HA","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Holiday Accommodation"
"CL02HO","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Holiday Centre"
"CL02YC","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Youth Organisation Camp"
"CL03","Commercial","Leisure - Applicable to recreational sites and enterprises","Library",""
"CL03RR","Commercial","Leisure - Applicable to recreational sites and enterprises","Library","Reading Room"
"CL04","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery",""
"CL04AC","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Art Centre / Gallery"
"CL04AM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Aviation Museum"
"CL04HG","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Heritage Centre"
"CL04IM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Industrial Museum"
"CL04MM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Military Museum"
"CL04SM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Science Museum"
"CL04TM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Transport Museum"
"CL04NM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Maritime Museum"
"CL06","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre",""
"CL06AH","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Athletics Facility"
"CL06BF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Bowls Facility"
"CL06CK","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Cricket Facility"
"CL06CU","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Curling Facility"
