"Concatenated","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CU08GG","Commercial","Utility","Gas / Oil Storage / Distribution","Gas Governor"
"CU08GH","Commercial","Utility","Gas / Oil Storage / Distribution","Gas Holder"
"CU08OT","Commercial","Utility","Gas / Oil Storage / Distribution","Oil Terminal"
"CU09","Commercial","Utility","Other Utility Use",""
"CU09OV","Commercial","Utility","Other Utility Use","Observatory"
"CU09RA","Commercial","Utility","Other Utility Use","Radar Station"
"CU09SE","Commercial","Utility","Other Utility Use","Satellite Earth Station"
"CU09CQ","Commercial","Utility","Other Utility Use","Cable Terminal Station"
"CU10","Commercial","Utility","Waste Management",""
"CU11","Commercial","Utility","Telephone Box",""
"CU11OP","Commercial","Utility","Telephone Box","Other Public Telephones"
"CU12","Commercial","Utility","Dam",""
"CX","Commercial","Emergency / Rescue Service","",""
"CX01","Commercial","Emergency / Rescue Service","Police / Transport Police / Station",""
"CX01PT","Commercial","Emergency / Rescue Service","Police / Transport Police / Station","Police Training"
"CX02","Commercial","Emergency / Rescue Service","Fire Station",""
"CX02FT","Commercial","Emergency / Rescue Service","Fire Station","Fire Service Training"
"CX03","Commercial","Emergency / Rescue Service","Ambulance Station",""
"CX03AA","Commercial","Emergency / Rescue Service","Ambulance Station","Air Sea Rescue / Air Ambulance"
"CX04","Commercial","Emergency / Rescue Service","Lifeboat Services / Station",""
"CX05","Commercial","Emergency / Rescue Service","Coastguard Rescue / Lookout / Station",""
"CX06","Commercial","Emergency / Rescue Service","Mountain Rescue Station",""
"CX07","Commercial","Emergency / Rescue Service","Lighthouse",""
"CX08","Commercial","Emergency / Rescue Service","Police Box / Kiosk",""
"CZ","Commercial","Information","",""
"CZ01","Commercial","Information","Advertising Hoarding",""
"CZ02","Commercial","Information","Tourist Information Signage",""
"CZ02VI","Commercial","Information","Tourist Information Signage","Visitor Information"
"CZ03","Commercial","Information","Traffic Information Signage",""
"L","Land","","",""
"LA","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","",""
"LA01","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","Grazing Land",""
"LA02","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","Permanent Crop / Crop Rotation ",""
"LA02OC","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","Permanent Crop / Crop Rotation ","Orchard"
"LB","Land","Ancillary Building","",""
"LB99AV","Land","Ancillary Building","","Aviary / Dovecot / Cage"
"LB99BD","Land","Ancillary Building","","Bandstand"
"LB99PI","Land","Ancillary Building","","Pavilion / Changing Room"
"LB99SV","Land","Ancillary Building","","Sports Viewing Structure"
"LC","Land","Burial Ground","",""
"LC01","Land","Burial Ground","Historic / Disused Cemetery / Graveyard",""
"LD","Land","Development","",""
"LD01","Land","Development","Development Site",""
"LD01CC","Land","Development","Development Site","Commercial Construction Site"
"LD01CO","Land","Development","Development Site","Community Construction Site"
"LD01RN","Land","Development","Development Site","Residential Construction Site"
"LD01TC","Land","Development","Development Site","Transport Construction Site"
"LF","Land","Forestry","",""
"LF02","Land","Forestry","Forest / Arboretum / Pinetum (Managed / Unmanaged)",""
"LF02AU","Land","Forestry","Forest / Arboretum / Pinetum (Managed / Unmanaged)","Arboretum"
"LF03","Land","Forestry","Woodland",""
"LL","Land","Allotment","",""
"LM","Land","Amenity - Open areas not attracting visitors","",""
"LM01","Land","Amenity - Open areas not attracting visitors","Landscaped Roundabout",""
"LM02","Land","Amenity - Open areas not attracting visitors","Verge / Central Reservation",""
"LM02NV","Land","Amenity - Open areas not attracting visitors","Verge / Central Reservation","Natural Central Reservation"
"LM02VE","Land","Amenity - Open areas not attracting visitors","Verge / Central Reservation","Natural Verge"
"LM03","Land","Amenity - Open areas not attracting visitors","Maintained Amenity Land",""
"LM04","Land","Amenity - Open areas not attracting visitors","Maintained Surfaced Area",""
"LM04MV","Land","Amenity - Open areas not attracting visitors","Maintained Surfaced Area","Made Central Reservation"
"LM04PV","Land","Amenity - Open areas not attracting visitors","Maintained Surfaced Area","Pavement"
"LO","Land","Open Space","",""
"LO01","Land","Open Space","Heath / Moorland",""
"LP","Land","Park","",""
"LP01","Land","Park","Public Park / Garden",""
"LP02","Land","Park","Public Open Space / Nature Reserve",""
"LP03","Land","Park","Playground ",""
"LP03PA","Land","Park","Playground ","Play Area"
"LP03PD","Land","Park","Playground ","Paddling Pool"
"LP04","Land","Park","Private Park / Garden",""
"LU","Land","Unused Land","",""
"LU01","Land","Unused Land","Vacant / Derelict Land",""
"LW","Land","Water","",""
"LW01","Land","Water","Lake / Reservoir",""
"LW01BP","Land","Water","Lake / Reservoir","Balancing Pond"
"LW01BV","Land","Water","Lake / Reservoir","Buried Reservoir"
"LW02","Land","Water","Named Pond ",""
"LW02DE","Land","Water","Named Pond ","Dew Pond"
"LW02DP","Land","Water","Named Pond ","Decoy Pond"
"LW02IW","Land","Water","Named Pond ","Static Water"
"LW03","Land","Water","Waterway",""
"LW03LR","Land","Water","Waterway","Leats / Races"
"LW03DR","Land","Water","Waterway","Drain"
"M","Military","","",""
"MA","Military","Army","",""
"MA99AR","Military","Army","","Army Military Range"
"MA99AS","Military","Army","","Army Site"
"MA99AT","Military","Army","","Army Military Training"
"MA99AG","Military","Army","","Army Military Storage"
"MB","Military","Ancillary Building","",""
"MB99TG","Military","Ancillary Building","","Military Target"
"MF","Military","Air Force","",""
"MF99UG","Military","Air Force","","Air Force Military Storage"
"MF99UR","Military","Air Force","","Air Force Military Range"
"MF99US","Military","Air Force","","Air Force Site"
"MF99UT","Military","Air Force","","Air Force Military Training"
"MG","Military","Defence Estates","",""
"MN","Military","Navy","",""
"MN99VG","Military","Navy","","Naval Military Storage"
"MN99VR","Military","Navy","","Naval Military Range"
"MN99VS","Military","Navy","","Naval Site"
"MN99VT","Military","Navy","","Naval Military Training"
"O","Other (Ordnance Survey Only)","","",""
"OA","Other (Ordnance Survey Only)","Aid To Navigation","",""
"OA01","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation",""
"OA01AL","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Aeronautical Navigation Beacon / Light"
"OA01LL","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Landing Light"
"OA01SQ","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Signal Square"
"OA01WK","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Wind Sock / Wind Tee"
"OA02","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation",""
"OA02DM","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation","Daymark"
"OA02FG","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation","Fog Horn Warning"
"OA02NL","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation","Nautical Navigation Beacon / Light"
"OA03","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Road Navigation",""
"OA03GP","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Road Navigation","Guide Post "
"OC","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","",""
"OC01","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Boulder Wall / Sea Wall",""
"OC02","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Flood Gate / Flood Sluice Gate / Flood Valve",""
"OC03","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Groyne",""
"OC04","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Rip-Rap",""
"OE","Other (Ordnance Survey Only)","Emergency Support","",""
"OE01","Other (Ordnance Survey Only)","Emergency Support","Beach Office / First Aid Facility",""
"OE02","Other (Ordnance Survey Only)","Emergency Support","Emergency Telephone (Non Motorway)",""
"OE03","Other (Ordnance Survey Only)","Emergency Support","Fire Alarm Structure / Fire Observation Tower / Fire Beater Facility ",""
"OE04","Other (Ordnance Survey Only)","Emergency Support","Emergency Equipment Point / Emergency Siren / Warning Flag",""
"OE05","Other (Ordnance Survey Only)","Emergency Support","Lifeguard Facility",""
"OE06","Other (Ordnance Survey Only)","Emergency Support","LIfe / Belt / Buoy /  Float / Jacket / Safety Rope",""
"OF","Other (Ordnance Survey Only)","Street Furniture","",""
"OG","Other (Ordnance Survey Only)","Agricultural Support Objects","",""
"OG01","Other (Ordnance Survey Only)","Agricultural Support Objects","Fish Ladder / Lock / Pen / Trap",""
"OG02","Other (Ordnance Survey Only)","Agricultural Support Objects","Livestock Pen / Dip",""
"OG03","Other (Ordnance Survey Only)","Agricultural Support Objects","Currick",""
"OG04","Other (Ordnance Survey Only)","Agricultural Support Objects","Slurry Bed / Pit",""
"OH","Other (Ordnance Survey Only)","Historical Site / Object","",""
"OH01","Other (Ordnance Survey Only)","Historical Site / Object","Historic Structure / Object",""
"OI","Other (Ordnance Survey Only)","Industrial Support","",""
"OI01","Other (Ordnance Survey Only)","Industrial Support","Adit / Incline / Level",""
"OI02","Other (Ordnance Survey Only)","Industrial Support","Caisson / Dry Dock / Grid",""
"OI03","Other (Ordnance Survey Only)","Industrial Support","Channel / Conveyor / Conduit / Pipe",""
"OI04","Other (Ordnance Survey Only)","Industrial Support","Chimney / Flue",""
"OI05","Other (Ordnance Survey Only)","Industrial Support","Crane / Hoist / Winch / Material Elevator",""
"OI06","Other (Ordnance Survey Only)","Industrial Support","Flare Stack",""
"OI07","Other (Ordnance Survey Only)","Industrial Support","Hopper / Silo / Cistern / Tank",""
"OI08","Other (Ordnance Survey Only)","Industrial Support","Grab / Skip / Other Industrial Waste Machinery / Discharging",""
"OI09","Other (Ordnance Survey Only)","Industrial Support","Kiln / Oven / Smelter",""
"OI10","Other (Ordnance Survey Only)","Industrial Support","Manhole / Shaft",""
"OI11","Other (Ordnance Survey Only)","Industrial Support","Industrial Overflow / Sluice / Valve / Valve Housing",""
"OI12","Other (Ordnance Survey Only)","Industrial Support","Cooling Tower",""
"OI13","Other (Ordnance Survey Only)","Industrial Support","Solar Panel / Waterwheel ",""
"OI14","Other (Ordnance Survey Only)","Industrial Support","Telephone Pole / Post",""
"OI15","Other (Ordnance Survey Only)","Industrial Support","Electricity Distribution Pole / Pylon",""
"ON","Other (Ordnance Survey Only)","Significant Natural Object","",""
"ON01","Other (Ordnance Survey Only)","Significant Natural Object","Boundary / Significant / Historic Tree / Pollard",""
"ON02","Other (Ordnance Survey Only)","Significant Natural Object","Boundary / Significant Rock / Boulder",""
"ON03","Other (Ordnance Survey Only)","Significant Natural Object","Natural Hole (Blow / Shake / Swallow)",""
"OO","Other (Ordnance Survey Only)","Ornamental / Cultural Object","",""
"OO02","Other (Ordnance Survey Only)","Ornamental / Cultural Object","Mausoleum / Tomb / Grave",""
"OO03","Other (Ordnance Survey Only)","Ornamental / Cultural Object","Simple Ornamental Object",""
"OO04","Other (Ordnance Survey Only)","Ornamental / Cultural Object","Maze",""
"OP","Other (Ordnance Survey Only)","Sport / Leisure Support","",""
"OP01","Other (Ordnance Survey Only)","Sport / Leisure Support","Butt / Hide",""
"OP02","Other (Ordnance Survey Only)","Sport / Leisure Support","Gallop / Ride",""
"OP03","Other (Ordnance Survey Only)","Sport / Leisure Support","Miniature Railway",""
"OR","Other (Ordnance Survey Only)","Royal Mail Infrastructure","",""
"OR01","Other (Ordnance Survey Only)","Royal Mail Infrastructure","Postal Box ",""
"OR02","Other (Ordnance Survey Only)","Royal Mail Infrastructure","Postal Delivery Box / Pouch",""
"OR03","Other (Ordnance Survey Only)","Royal Mail Infrastructure","PO Box",""
"OR04","Other (Ordnance Survey Only)","Royal Mail Infrastructure","Additional Mail / Packet Addressee ",""
"OS","Other (Ordnance Survey Only)","Scientific / Observation Support","",""
"OS01","Other (Ordnance Survey Only)","Scientific / Observation Support","Meteorological Station / Equipment",""
"OS02","Other (Ordnance Survey Only)","Scientific / Observation Support","Radar / Satellite Infrastructure",""
"OS03","Other (Ordnance Survey Only)","Scientific / Observation Support","Telescope / Observation Infrastructure / Astronomy",""
"OT","Other (Ordnance Survey Only)","Transport Support","",""
"OT01","Other (Ordnance Survey Only)","Transport Support","Cattle Grid / Ford",""
"OT02","Other (Ordnance Survey Only)","Transport Support","Elevator / Escalator / Steps",""
"OT03","Other (Ordnance Survey Only)","Transport Support","Footbridge / Walkway",""
"OT04","Other (Ordnance Survey Only)","Transport Support","Pole / Post / Bollard (Restricting Vehicular Access)",""
"OT05","Other (Ordnance Survey Only)","Transport Support","Subway / Underpass",""
"OT06","Other (Ordnance Survey Only)","Transport Support","Customs Inspection Facility",""
"OT07","Other (Ordnance Survey Only)","Transport Support","Lay-By",""
"OT08","Other (Ordnance Survey Only)","Transport Support","Level Crossing",""
"OT09","Other (Ordnance Survey Only)","Transport Support","Mail Pick Up",""
"OT10","Other (Ordnance Survey Only)","Transport Support","Railway Pedestrian Crossing",""
"OT11","Other (Ordnance Survey Only)","Transport Support","Railway Buffer",""
"OT12","Other (Ordnance Survey Only)","Transport Support","Rail Drag",""
"OT13","Other (Ordnance Survey Only)","Transport Support","Rail Infrastructure Services",""
"OT14","Other (Ordnance Survey Only)","Transport Support","Rail Kilometre Distance Marker",""
"OT15","Other (Ordnance Survey Only)","Transport Support","Railway Lighting",""
"OT16","Other (Ordnance Survey Only)","Transport Support","Rail Mile Distance Marker",""
"OT17","Other (Ordnance Survey Only)","Transport Support","Railway Turntable",""
"OT18","Other (Ordnance Survey Only)","Transport Support","Rail Weighbridge",""
"OT19","Other (Ordnance Survey Only)","Transport Support","Rail Signalling",""
"OT20","Other (Ordnance Survey Only)","Transport Support","Railway Traverse",""
"OT21","Other (Ordnance Survey Only)","Transport Support","Goods Tramway",""
"OT22","Other (Ordnance Survey Only)","Transport Support","Road Drag",""
"OT23","Other (Ordnance Survey Only)","Transport Support","Vehicle Dip",""
"OT24","Other (Ordnance Survey Only)","Transport Support","Road Turntable",""
"OT25","Other (Ordnance Survey Only)","Transport Support","Road Mile Distance Marker",""
"OT26","Other (Ordnance Survey Only)","Transport Support","Road Kilometre Distance Marker",""
"OT27","Other (Ordnance Survey Only)","Transport Support","Road Infrastructure Services",""
"OU","Other (Ordnance Survey Only)","Unsupported Site","",""
"OU01","Other (Ordnance Survey Only)","Unsupported Site","Cycle Parking Facility",""
"OU04","Other (Ordnance Survey Only)","Unsupported Site","Picnic / Barbeque Site",""
"OU05","Other (Ordnance Survey Only)","Unsupported Site","Travelling Persons Site",""
"OU08","Other (Ordnance Survey Only)","Unsupported Site","Shelter (Not Including Bus Shelter)",""
"P","Parent Shell","","",""
"PP","Parent Shell","Property Shell","",""
"PS","Parent Shell","Street Record ","",""
"R","Residential","","",""
"RB","Residential","Ancillary Building","",""
"RC","Residential","Car Park Space","",""
"RC01","Residential","Car Park Space","Allocated Parking",""
"RD","Residential","Dwelling","",""
"RD01","Residential","Dwelling","Caravan",""
"RD02","Residential","Dwelling","Detached ",""
"RD03","Residential","Dwelling","Semi-Detached",""
"RD04","Residential","Dwelling","Terraced",""
"RD06","Residential","Dwelling","Self Contained Flat (Includes Maisonette / Apartment)",""
"RD07","Residential","Dwelling","House Boat",""
"RD08","Residential","Dwelling","Sheltered Accommodation",""
"RD10","Residential","Dwelling","Privately Owned Holiday Caravan / Chalet",""
"RG","Residential","Garage","",""
"RG02","Residential","Garage","Lock-Up Garage / Garage Court",""
"RH","Residential","House In Multiple Occupation","",""
"RH01","Residential","House In Multiple Occupation","HMO Parent",""
"RH02","Residential","House In Multiple Occupation","HMO Bedsit / Other Non Self Contained Accommodation",""
"RH03","Residential","House In Multiple Occupation","HMO Not Further Divided",""
"RI","Residential","Residential Institution","",""
"RI01","Residential","Residential Institution","Care / Nursing Home",""
"RI02","Residential","Residential Institution","Communal Residence",""
"RI02NC","Residential","Residential Institution","Communal Residence","Non-Commercial Lodgings"
"RI02RC","Residential","Residential Institution","Communal Residence","Religious Community"
"RI03","Residential","Residential Institution","Residential Education",""
"U","Unclassified","","",""
"UC","Unclassified","Awaiting Classification","",""
"UP","Unclassified","Pending Internal Investigation","",""
"X","Dual Use","","",""
"Z","Object of Interest","","",""
"ZA","Object of Interest","Archaeological Dig Site","",""
"ZM","Object of Interest","Monument","",""
"ZM01","Object of Interest","Monument","Obelisk / Milestone / Standing Stone",""
"ZM01OB","Object of Interest","Monument","Obelisk / Milestone / Standing Stone","Obelisk"
"ZM01ST","Object of Interest","Monument","Obelisk / Milestone / Standing Stone","Standing Stone"
"ZM02","Object of Interest","Monument","Memorial / Market Cross",""
"ZM03","Object of Interest","Monument","Statue",""
"ZM04","Object of Interest","Monument","Castle / Historic Ruin",""
"ZM05","Object of Interest","Monument","Other Structure",""
"ZM05BS","Object of Interest","Monument","Other Structure","Boundary Stone"
"ZM05PN","Object of Interest","Monument","Other Structure","Permanent Art Display / Sculpture"
"ZM05CE","Object of Interest","Monument","Other Structure","Cascade / Fountain"
"ZM05WI","Object of Interest","Monument","Other Structure","Windmill (Inactive)"
"ZS","Object of Interest","Stately Home","",""
"ZU","Object of Interest","Underground Feature","",""
"ZU01","Object of Interest","Underground Feature","Cave",""
"ZU04","Object of Interest","Underground Feature","Pothole / Natural Hole",""
"ZV","Object of Interest","Other Underground Feature","",""
"ZV01","Object of Interest","Other Underground Feature","Cellar",""
"ZV02","Object of Interest","Other Underground Feature","Disused Mine",""
"ZV02MI","Object of Interest","Other Underground Feature","Disused Mine","Mineral Mining / Inactive"
"ZV02OI","Object of Interest","Other Underground Feature","Disused Mine","Oil And / Gas Extraction/ Inactive"
"ZV02QI","Object of Interest","Other Underground Feature","Disused Mine","Mineral Quarrying And / Open Extraction / Inactive"
"ZV03","Object of Interest","Other Underground Feature","Well / Spring",""
"ZV03SG","Object of Interest","Other Underground Feature","Well / Spring","Spring"
"ZV03WL","Object of Interest","Other Underground Feature","Well / Spring","Well"
"ZW","Object of Interest","Place Of Worship","",""
"ZW99AB","Object of Interest","Place Of Worship","","Abbey"
"ZW99CA","Object of Interest","Place Of Worship","","Cathedral"
"ZW99CH","Object of Interest","Place Of Worship","","Church"
"ZW99CP","Object of Interest","Place Of Worship","","Chapel"
"ZW99GU","Object of Interest","Place Of Worship","","Gurdwara"
"ZW99KH","Object of Interest","Place Of Worship","","Kingdom Hall"
"ZW99MQ","Object of Interest","Place Of Worship","","Mosque"
"ZW99MT","Object of Interest","Place Of Worship","","Minster"
"ZW99SU","Object of Interest","Place Of Worship","","Stupa"
"ZW99SY","Object of Interest","Place Of Worship","","Synagogue"
"ZW99TP","Object of Interest","Place Of Worship","","Temple"
"ZW99LG","Object of Interest","Place Of Worship","","Lych Gate "
