"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CN05AN","Animal Sanctuary","C","N","05","AN","Commercial","Animal Centre","Animal / Bird / Marine Sanctuary","Animal Sanctuary"
"CN05MR","Marine Sanctuary","C","N","05","MR","Commercial","Animal Centre","Animal / Bird / Marine Sanctuary","Marine Sanctuary"
"CO","Office","C","O","","","Commercial","Office","",""
"CO01","Office / Work Studio","C","O","01","","Commercial","Office","Office / Work Studio",""
"CO01EM","Embassy /, High Commission / Consulate","C","O","01","EM","Commercial","Office","Office / Work Studio","Embassy /, High Commission / Consulate"
"CO01FM","Film Studio","C","O","01","FM","Commercial","Office","Office / Work Studio","Film Studio"
"CO01GV","Central Government Service","C","O","01","GV","Commercial","Office","Office / Work Studio","Central Government Service"
"CO01LG","Local Government Service","C","O","01","LG","Commercial","Office","Office / Work Studio","Local Government Service"
"CO02","Broadcasting (TV / Radio)","C","O","02","","Commercial","Office","Broadcasting (TV / Radio)",""
"CR","Retail","C","R","","","Commercial","Retail","",""
"CR01","Bank / Financial Service","C","R","01","","Commercial","Retail","Bank / Financial Service",""
"CR02","Retail Service Agent","C","R","02","","Commercial","Retail","Retail Service Agent",""
"CR02PO","Post Office","C","R","02","PO","Commercial","Retail","Retail Service Agent","Post Office"
"CR04","Market (Indoor / Outdoor)","C","R","04","","Commercial","Retail","Market (Indoor / Outdoor)",""
"CR04FK","Fish Market","C","R","04","FK","Commercial","Retail","Market (Indoor / Outdoor)","Fish Market"
"CR04FV","Fruit / Vegetable Market","C","R","04","FV","Commercial","Retail","Market (Indoor / Outdoor)","Fruit / Vegetable Market"
"CR04LV","Livestock Market","C","R","04","LV","Commercial","Retail","Market (Indoor / Outdoor)","Livestock Market"
"CR05","Petrol Filling Station","C","R","05","","Commercial","Retail","Petrol Filling Station",""
"CR06","Public House / Bar / Nightclub","C","R","06","","Commercial","Retail","Public House / Bar / Nightclub",""
"CR07","Restaurant / Cafeteria","C","R","07","","Commercial","Retail","Restaurant / Cafeteria",""
"CR08","Shop / Showroom","C","R","08","","Commercial","Retail","Shop / Showroom",""
"CR08GC","Garden Centre","C","R","08","GC","Commercial","Retail","Shop / Showroom","Garden Centre"
"CR09","Other Licensed Premise / Vendor","C","R","09","","Commercial","Retail","Other Licensed Premise / Vendor",""
"CR10","Fast Food Outlet / Takeaway (Hot / Cold)","C","R","10","","Commercial","Retail","Fast Food Outlet / Takeaway (Hot / Cold)",""
"CR11","Automated Teller Machine (ATM)","C","R","11","","Commercial","Retail","Automated Teller Machine (ATM)",""
"CS","Storage Land","C","S","","","Commercial","Storage Land","",""
"CS01","General Storage Land","C","S","01","","Commercial","Storage Land","General Storage Land",""
"CS02","Builders’ Yard","C","S","02","","Commercial","Storage Land","Builders’ Yard",""
"CT","Transport","C","T","","","Commercial","Transport","",""
"CT01","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","C","T","01","","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility",""
"CT01AF","Airfield","C","T","01","AF","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Airfield"
"CT01AY","Air Passenger Terminal","C","T","01","AY","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Air Passenger Terminal"
"CT01AI","Air Transport Infrastructure Services","C","T","01","AI","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Air Transport Infrastructure Services"
"CT01AP","Airport","C","T","01","AP","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Airport"
"CT01HS","Helicopter Station","C","T","01","HS","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Helicopter Station"
"CT01HT","Heliport / Helipad","C","T","01","HT","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Heliport / Helipad"
"CT02","Bus Shelter","C","T","02","","Commercial","Transport","Bus Shelter",""
"CT03","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site","C","T","03","","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site",""
"CT03PK","Public Park And Ride","C","T","03","PK","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site","Public Park And Ride"
"CT03PP","Public Car Parking","C","T","03","PP","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site","Public Car Parking"
"CT03PU","Public Coach Parking","C","T","03","PU","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site","Public Coach Parking"
"CT03VP","Public Commercial Vehicle Parking","C","T","03","VP","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site","Public Commercial Vehicle Parking"
"CT04","Goods Freight Handling / Terminal","C","T","04","","Commercial","Transport","Goods Freight Handling / Terminal",""
"CT04AE","Air Freight Terminal","C","T","04","AE","Commercial","Transport","Goods Freight Handling / Terminal","Air Freight Terminal"
"CT04CF","Container Freight","C","T","04","CF","Commercial","Transport","Goods Freight Handling / Terminal","Container Freight"
"CT04RH","Road Freight Transport","C","T","04","RH","Commercial","Transport","Goods Freight Handling / Terminal","Road Freight Transport"
"CT04RT","Rail Freight Transport","C","T","04","RT","Commercial","Transport","Goods Freight Handling / Terminal","Rail Freight Transport"
"CT05","Marina","C","T","05","","Commercial","Transport","Marina",""
"CT06","Mooring","C","T","06","","Commercial","Transport","Mooring",""
"CT07","Railway Asset","C","T","07","","Commercial","Transport","Railway Asset",""
"CT08","Station / Interchange / Terminal / Halt","C","T","08","","Commercial","Transport","Station / Interchange / Terminal / Halt",""
"CT08BC","Bus / Coach Station","C","T","08","BC","Commercial","Transport","Station / Interchange / Terminal / Halt","Bus / Coach Station"
"CT08RS","Railway Station","C","T","08","RS","Commercial","Transport","Station / Interchange / Terminal / Halt","Railway Station"
"CT08VH","Vehicular Rail Terminal","C","T","08","VH","Commercial","Transport","Station / Interchange / Terminal / Halt","Vehicular Rail Terminal"
"CT09","Transport Track / Way","C","T","09","","Commercial","Transport","Transport Track / Way",""
"CT09CL","Cliff Railway","C","T","09","CL","Commercial","Transport","Transport Track / Way","Cliff Railway"
"CT09CX","Chair Lift / Cable Car / Ski Tow","C","T","09","CX","Commercial","Transport","Transport Track / Way","Chair Lift / Cable Car / Ski Tow"
"CT09MO","Monorail","C","T","09","MO","Commercial","Transport","Transport Track / Way","Monorail"
"CT10","Vehicle Storage","C","T","10","","Commercial","Transport","Vehicle Storage",""
"CT10BG","Boat Storage","C","T","10","BG","Commercial","Transport","Vehicle Storage","Boat Storage"
"CT10BU","Bus / Coach Depot","C","T","10","BU","Commercial","Transport","Vehicle Storage","Bus / Coach Depot"
"CT11","Transport Related Infrastructure","C","T","11","","Commercial","Transport","Transport Related Infrastructure",""
"CT11AD","Aqueduct","C","T","11","AD","Commercial","Transport","Transport Related Infrastructure","Aqueduct"
"CT11LK","Lock","C","T","11","LK","Commercial","Transport","Transport Related Infrastructure","Lock"
"CT11WE","Weir","C","T","11","WE","Commercial","Transport","Transport Related Infrastructure","Weir"
"CT11WG","Weighbridge / Load Gauge","C","T","11","WG","Commercial","Transport","Transport Related Infrastructure","Weighbridge / Load Gauge"
"CT12","Overnight Lorry Park","C","T","12","","Commercial","Transport","Overnight Lorry Park",""
"CT13","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","C","T","13","","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay",""
"CT13FR","Passenger Ferry Terminal","C","T","13","FR","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Passenger Ferry Terminal"
"CT13NB","Non-Tanker Nautical Berthing","C","T","13","NB","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Non-Tanker Nautical Berthing"
"CT13NF","Nautical Refuelling Facility","C","T","13","NF","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Nautical Refuelling Facility"
"CT13SA","Slipway","C","T","13","SA","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Slipway"
"CT13SP","Ship Passenger Terminal","C","T","13","SP","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Ship Passenger Terminal"
"CT13TK","Tanker Berthing","C","T","13","TK","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Tanker Berthing"
"CT13VF","Vehicular Ferry Terminal","C","T","13","VF","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Vehicular Ferry Terminal"
"CU","Utility","C","U","","","Commercial","Utility","",""
"CU01","Electricity Sub-Station","C","U","01","","Commercial","Utility","Electricity Sub-Station",""
"CU02","Landfill","C","U","02","","Commercial","Utility","Landfill",""
"CU03","Power Station / Energy Production","C","U","03","","Commercial","Utility","Power Station / Energy Production",""
"CU03ED","Electricity Distribution Facility","C","U","03","ED","Commercial","Utility","Power Station / Energy Production","Electricity Distribution Facility"
"CU03EP","Electricity Production Facility","C","U","03","EP","Commercial","Utility","Power Station / Energy Production","Electricity Production Facility"
"CU03WF","Wind Farm","C","U","03","WF","Commercial","Utility","Power Station / Energy Production","Wind Farm"
"CU03WU","Wind Turbine","C","U","03","WU","Commercial","Utility","Power Station / Energy Production","Wind Turbine"
"CU04","Pump House / Pumping Station / Water Tower","C","U","04","","Commercial","Utility","Pump House / Pumping Station / Water Tower",""
"CU04WC","Water Controlling / Pumping","C","U","04","WC","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Controlling / Pumping"
"CU04WD","Water Distribution / Pumping","C","U","04","WD","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Distribution / Pumping"
"CU04WM","Water Quality Monitoring","C","U","04","WM","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Quality Monitoring"
"CU04WS","Water Storage","C","U","04","WS","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Storage"
"CU04WW","Waste Water Distribution / Pumping","C","U","04","WW","Commercial","Utility","Pump House / Pumping Station / Water Tower","Waste Water Distribution / Pumping"
"CU06","Telecommunication","C","U","06","","Commercial","Utility","Telecommunication",""
"CU06TE","Telecommunications Mast","C","U","06","TE","Commercial","Utility","Telecommunication","Telecommunications Mast"
"CU06TX","Telephone Exchange","C","U","06","TX","Commercial","Utility","Telecommunication","Telephone Exchange"
"CU07","Water / Waste Water / Sewage Treatment Works","C","U","07","","Commercial","Utility","Water / Waste Water / Sewage Treatment Works",""
"CU07WR","Waste Water Treatment","C","U","07","WR","Commercial","Utility","Water / Waste Water / Sewage Treatment Works","Waste Water Treatment"
"CU07WT","Water Treatment","C","U","07","WT","Commercial","Utility","Water / Waste Water / Sewage Treatment Works","Water Treatment"
"CU08","Gas / Oil Storage / Distribution","C","U","08","","Commercial","Utility","Gas / Oil Storage / Distribution",""
"CU08GG","Gas Governor","C","U","08","GG","Commercial","Utility","Gas / Oil Storage / Distribution","Gas Governor"
"CU08GH","Gas Holder","C","U","08","GH","Commercial","Utility","Gas / Oil Storage / Distribution","Gas Holder"
"CU08OT","Oil Terminal","C","U","08","OT","Commercial","Utility","Gas / Oil Storage / Distribution","Oil Terminal"
"CU09","Other Utility Use","C","U","09","","Commercial","Utility","Other Utility Use",""
"CU09OV","Observatory","C","U","09","OV","Commercial","Utility","Other Utility Use","Observatory"
"CU09RA","Radar Station","C","U","09","RA","Commercial","Utility","Other Utility Use","Radar Station"
"CU09SE","Satellite Earth Station","C","U","09","SE","Commercial","Utility","Other Utility Use","Satellite Earth Station"
"CU09CQ","Cable Terminal Station","C","U","09","CQ","Commercial","Utility","Other Utility Use","Cable Terminal Station"
"CU10","Waste Management","C","U","10","","Commercial","Utility","Waste Management",""
"CU11","Telephone Box","C","U","11","","Commercial","Utility","Telephone Box",""
"CU11OP","Other Public Telephones","C","U","11","OP","Commercial","Utility","Telephone Box","Other Public Telephones"
"CU12","Dam","C","U","12","","Commercial","Utility","Dam",""
"CX","Emergency / Rescue Service","C","X","","","Commercial","Emergency / Rescue Service","",""
"CX01","Police / Transport Police / Station","C","X","01","","Commercial","Emergency / Rescue Service","Police / Transport Police / Station",""
"CX01PT","Police Training","C","X","01","PT","Commercial","Emergency / Rescue Service","Police / Transport Police / Station","Police Training"
"CX02","Fire Station","C","X","02","","Commercial","Emergency / Rescue Service","Fire Station",""
"CX02FT","Fire Service Training","C","X","02","FT","Commercial","Emergency / Rescue Service","Fire Station","Fire Service Training"
"CX03","Ambulance Station","C","X","03","","Commercial","Emergency / Rescue Service","Ambulance Station",""
"CX03AA","Air Sea Rescue / Air Ambulance","C","X","03","AA","Commercial","Emergency / Rescue Service","Ambulance Station","Air Sea Rescue / Air Ambulance"
"CX04","Lifeboat Services / Station","C","X","04","","Commercial","Emergency / Rescue Service","Lifeboat Services / Station",""
"CX05","Coastguard Rescue / Lookout / Station","C","X","05","","Commercial","Emergency / Rescue Service","Coastguard Rescue / Lookout / Station",""
"CX06","Mountain Rescue Station","C","X","06","","Commercial","Emergency / Rescue Service","Mountain Rescue Station",""
"CX07","Lighthouse","C","X","07","","Commercial","Emergency / Rescue Service","Lighthouse",""
"CX08","Police Box / Kiosk","C","X","08","","Commercial","Emergency / Rescue Service","Police Box / Kiosk",""
"CZ","Information","C","Z","","","Commercial","Information","",""
"CZ01","Advertising Hoarding","C","Z","01","","Commercial","Information","Advertising Hoarding",""
"CZ02","Tourist Information Signage","C","Z","02","","Commercial","Information","Tourist Information Signage",""
"CZ02VI","Visitor Information","C","Z","02","VI","Commercial","Information","Tourist Information Signage","Visitor Information"
"CZ03","Traffic Information Signage","C","Z","03","","Commercial","Information","Traffic Information Signage",""
"L","Land","L","","","","Land","","",""
"LA","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","L","A","","","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","",""
"LA01","Grazing Land","L","A","01","","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","Grazing Land",""
"LA02","Permanent Crop / Crop Rotation","L","A","02","","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","Permanent Crop / Crop Rotation",""
"LA02OC","Orchard","L","A","02","OC","Land","Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise","Permanent Crop / Crop Rotation","Orchard"
"LB","Ancillary Building","L","B","","","Land","Ancillary Building","",""
"LB99AV","Aviary / Dovecot / Cage","L","B","99","AV","Land","Ancillary Building","","Aviary / Dovecot / Cage"
"LB99BD","Bandstand","L","B","99","BD","Land","Ancillary Building","","Bandstand"
"LB99PI","Pavilion / Changing Room","L","B","99","PI","Land","Ancillary Building","","Pavilion / Changing Room"
"LB99SV","Sports Viewing Structure","L","B","99","SV","Land","Ancillary Building","","Sports Viewing Structure"
"LC","Burial Ground","L","C","","","Land","Burial Ground","",""
"LC01","Historic / Disused Cemetery / Graveyard","L","C","01","","Land","Burial Ground","Historic / Disused Cemetery / Graveyard",""
"LD","Development","L","D","","","Land","Development","",""
"LD01","Development Site","L","D","01","","Land","Development","Development Site",""
"LD01CC","Commercial Construction Site","L","D","01","CC","Land","Development","Development Site","Commercial Construction Site"
"LD01CO","Community Construction Site","L","D","01","CO","Land","Development","Development Site","Community Construction Site"
"LD01RN","Residential Construction Site","L","D","01","RN","Land","Development","Development Site","Residential Construction Site"
"LD01TC","Transport Construction Site","L","D","01","TC","Land","Development","Development Site","Transport Construction Site"
"LF","Forestry","L","F","","","Land","Forestry","",""
"LF02","Forest / Arboretum / Pinetum (Managed / Unmanaged)","L","F","02","","Land","Forestry","Forest / Arboretum / Pinetum (Managed / Unmanaged)",""
"LF02AU","Arboretum","L","F","02","AU","Land","Forestry","Forest / Arboretum / Pinetum (Managed / Unmanaged)","Arboretum"
"LF03","Woodland","L","F","03","","Land","Forestry","Woodland",""
"LL","Allotment","L","L","","","Land","Allotment","",""
"LM","Amenity - Open areas not attracting visitors","L","M","","","Land","Amenity - Open areas not attracting visitors","",""
"LM01","Landscaped Roundabout","L","M","01","","Land","Amenity - Open areas not attracting visitors","Landscaped Roundabout",""
"LM02","Verge / Central Reservation","L","M","02","","Land","Amenity - Open areas not attracting visitors","Verge / Central Reservation",""
"LM02NV","Natural Central Reservation","L","M","02","NV","Land","Amenity - Open areas not attracting visitors","Verge / Central Reservation","Natural Central Reservation"
"LM02VE","Natural Verge","L","M","02","VE","Land","Amenity - Open areas not attracting visitors","Verge / Central Reservation","Natural Verge"
"LM03","Maintained Amenity Land","L","M","03","","Land","Amenity - Open areas not attracting visitors","Maintained Amenity Land",""
"LM04","Maintained Surfaced Area","L","M","04","","Land","Amenity - Open areas not attracting visitors","Maintained Surfaced Area",""
"LM04MV","Made Central Reservation","L","M","04","MV","Land","Amenity - Open areas not attracting visitors","Maintained Surfaced Area","Made Central Reservation"
"LM04PV","Pavement","L","M","04","PV","Land","Amenity - Open areas not attracting visitors","Maintained Surfaced Area","Pavement"
"LO","Open Space","L","O","","","Land","Open Space","",""
"LO01","Heath / Moorland","L","O","01","","Land","Open Space","Heath / Moorland",""
"LP","Park","L","P","","","Land","Park","",""
"LP01","Public Park / Garden","L","P","01","","Land","Park","Public Park / Garden",""
"LP02","Public Open Space / Nature Reserve","L","P","02","","Land","Park","Public Open Space / Nature Reserve",""
"LP03","Playground","L","P","03","","Land","Park","Playground",""
"LP03PA","Play Area","L","P","03","PA","Land","Park","Playground","Play Area"
"LP03PD","Paddling Pool","L","P","03","PD","Land","Park","Playground","Paddling Pool"
"LP04","Private Park / Garden","L","P","04","","Land","Park","Private Park / Garden",""
"LU","Unused Land","L","U","","","Land","Unused Land","",""
"LU01","Vacant / Derelict Land","L","U","01","","Land","Unused Land","Vacant / Derelict Land",""
"LW","Water","L","W","","","Land","Water","",""
"LW01","Lake / Reservoir","L","W","01","","Land","Water","Lake / Reservoir",""
"LW01BP","Balancing Pond","L","W","01","BP","Land","Water","Lake / Reservoir","Balancing Pond"
"LW01BV","Buried Reservoir","L","W","01","BV","Land","Water","Lake / Reservoir","Buried Reservoir"
"LW02","Named Pond","L","W","02","","Land","Water","Named Pond",""
"LW02DE","Dew Pond","L","W","02","DE","Land","Water","Named Pond","Dew Pond"
"LW02DP","Decoy Pond","L","W","02","DP","Land","Water","Named Pond","Decoy Pond"
"LW02IW","Static Water","L","W","02","IW","Land","Water","Named Pond","Static Water"
"LW03","Waterway","L","W","03","","Land","Water","Waterway",""
"LW03LR","Leats / Races","L","W","03","LR","Land","Water","Waterway","Leats / Races"
"LW03DR","Drain","L","W","03","DR","Land","Water","Waterway","Drain"
"M","Military","M","","","","Military","","",""
"MA","Army","M","A","","","Military","Army","",""
"MA99AR","Army Military Range","M","A","99","AR","Military","Army","","Army Military Range"
"MA99AS","Army Site","M","A","99","AS","Military","Army","","Army Site"
"MA99AT","Army Military Training","M","A","99","AT","Military","Army","","Army Military Training"
"MA99AG","Army Military Storage","M","A","99","AG","Military","Army","","Army Military Storage"
"MB","Ancillary Building","M","B","","","Military","Ancillary Building","",""
"MB99TG","Military Target","M","B","99","TG","Military","Ancillary Building","","Military Target"
"MF","Air Force","M","F","","","Military","Air Force","",""
"MF99UG","Air Force Military Storage","M","F","99","UG","Military","Air Force","","Air Force Military Storage"
"MF99UR","Air Force Military Range","M","F","99","UR","Military","Air Force","","Air Force Military Range"
"MF99US","Air Force Site","M","F","99","US","Military","Air Force","","Air Force Site"
"MF99UT","Air Force Military Training","M","F","99","UT","Military","Air Force","","Air Force Military Training"
"MG","Defence Estates","M","G","","","Military","Defence Estates","",""
"MN","Navy","M","N","","","Military","Navy","",""
"MN99VG","Naval Military Storage","M","N","99","VG","Military","Navy","","Naval Military Storage"
"MN99VR","Naval Military Range","M","N","99","VR","Military","Navy","","Naval Military Range"
"MN99VS","Naval Site","M","N","99","VS","Military","Navy","","Naval Site"
"MN99VT","Naval Military Training","M","N","99","VT","Military","Navy","","Naval Military Training"
"O","Other (Ordnance Survey Only)","O","","","","Other (Ordnance Survey Only)","","",""
"OA","Aid To Navigation","O","A","","","Other (Ordnance Survey Only)","Aid To Navigation","",""
"OA01","Aid To Aeronautical Navigation","O","A","01","","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation",""
"OA01AL","Aeronautical Navigation Beacon / Light","O","A","01","AL","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Aeronautical Navigation Beacon / Light"
"OA01LL","Landing Light","O","A","01","LL","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Landing Light"
"OA01SQ","Signal Square","O","A","01","SQ","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Signal Square"
"OA01WK","Wind Sock / Wind Tee","O","A","01","WK","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Aeronautical Navigation","Wind Sock / Wind Tee"
"OA02","Aid To Nautical Navigation","O","A","02","","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation",""
"OA02DM","Daymark","O","A","02","DM","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation","Daymark"
"OA02FG","Fog Horn Warning","O","A","02","FG","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation","Fog Horn Warning"
"OA02NL","Nautical Navigation Beacon / Light","O","A","02","NL","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Nautical Navigation","Nautical Navigation Beacon / Light"
"OA03","Aid To Road Navigation","O","A","03","","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Road Navigation",""
"OA03GP","Guide Post","O","A","03","GP","Other (Ordnance Survey Only)","Aid To Navigation","Aid To Road Navigation","Guide Post"
"OC","Coastal Protection / Flood Prevention","O","C","","","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","",""
"OC01","Boulder Wall / Sea Wall","O","C","01","","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Boulder Wall / Sea Wall",""
"OC02","Flood Gate / Flood Sluice Gate / Flood Valve","O","C","02","","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Flood Gate / Flood Sluice Gate / Flood Valve",""
"OC03","Groyne","O","C","03","","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Groyne",""
"OC04","Rip-Rap","O","C","04","","Other (Ordnance Survey Only)","Coastal Protection / Flood Prevention","Rip-Rap",""
"OE","Emergency Support","O","E","","","Other (Ordnance Survey Only)","Emergency Support","",""
"OE01","Beach Office / First Aid Facility","O","E","01","","Other (Ordnance Survey Only)","Emergency Support","Beach Office / First Aid Facility",""
"OE02","Emergency Telephone (Non Motorway)","O","E","02","","Other (Ordnance Survey Only)","Emergency Support","Emergency Telephone (Non Motorway)",""
"OE03","Fire Alarm Structure / Fire Observation Tower / Fire Beater Facility","O","E","03","","Other (Ordnance Survey Only)","Emergency Support","Fire Alarm Structure / Fire Observation Tower / Fire Beater Facility",""
"OE04","Emergency Equipment Point / Emergency Siren / Warning Flag","O","E","04","","Other (Ordnance Survey Only)","Emergency Support","Emergency Equipment Point / Emergency Siren / Warning Flag",""
"OE05","Lifeguard Facility","O","E","05","","Other (Ordnance Survey Only)","Emergency Support","Lifeguard Facility",""
"OE06","LIfe / Belt / Buoy / Float / Jacket / Safety Rope","O","E","06","","Other (Ordnance Survey Only)","Emergency Support","LIfe / Belt / Buoy / Float / Jacket / Safety Rope",""
"OF","Street Furniture","O","F","","","Other (Ordnance Survey Only)","Street Furniture","",""
"OG","Agricultural Support Objects","O","G","","","Other (Ordnance Survey Only)","Agricultural Support Objects","",""
"OG01","Fish Ladder / Lock / Pen / Trap","O","G","01","","Other (Ordnance Survey Only)","Agricultural Support Objects","Fish Ladder / Lock / Pen / Trap",""
"OG02","Livestock Pen / Dip","O","G","02","","Other (Ordnance Survey Only)","Agricultural Support Objects","Livestock Pen / Dip",""
"OG03","Currick","O","G","03","","Other (Ordnance Survey Only)","Agricultural Support Objects","Currick",""
"OG04","Slurry Bed / Pit","O","G","04","","Other (Ordnance Survey Only)","Agricultural Support Objects","Slurry Bed / Pit",""
"OH","Historical Site / Object","O","H","","","Other (Ordnance Survey Only)","Historical Site / Object","",""
"OH01","Historic Structure / Object","O","H","01","","Other (Ordnance Survey Only)","Historical Site / Object","Historic Structure / Object",""
"OI","Industrial Support","O","I","","","Other (Ordnance Survey Only)","Industrial Support","",""
"OI01","Adit / Incline / Level","O","I","01","","Other (Ordnance Survey Only)","Industrial Support","Adit / Incline / Level",""
"OI02","Caisson / Dry Dock / Grid","O","I","02","","Other (Ordnance Survey Only)","Industrial Support","Caisson / Dry Dock / Grid",""
"OI03","Channel / Conveyor / Conduit / Pipe","O","I","03","","Other (Ordnance Survey Only)","Industrial Support","Channel / Conveyor / Conduit / Pipe",""
"OI04","Chimney / Flue","O","I","04","","Other (Ordnance Survey Only)","Industrial Support","Chimney / Flue",""
"OI05","Crane / Hoist / Winch / Material Elevator","O","I","05","","Other (Ordnance Survey Only)","Industrial Support","Crane / Hoist / Winch / Material Elevator",""
"OI06","Flare Stack","O","I","06","","Other (Ordnance Survey Only)","Industrial Support","Flare Stack",""
"OI07","Hopper / Silo / Cistern / Tank","O","I","07","","Other (Ordnance Survey Only)","Industrial Support","Hopper / Silo / Cistern / Tank",""
"OI08","Grab / Skip / Other Industrial Waste Machinery / Discharging","O","I","08","","Other (Ordnance Survey Only)","Industrial Support","Grab / Skip / Other Industrial Waste Machinery / Discharging",""
"OI09","Kiln / Oven / Smelter","O","I","09","","Other (Ordnance Survey Only)","Industrial Support","Kiln / Oven / Smelter",""
"OI10","Manhole / Shaft","O","I","10","","Other (Ordnance Survey Only)","Industrial Support","Manhole / Shaft",""
"OI11","Industrial Overflow / Sluice / Valve / Valve Housing","O","I","11","","Other (Ordnance Survey Only)","Industrial Support","Industrial Overflow / Sluice / Valve / Valve Housing",""
"OI12","Cooling Tower","O","I","12","","Other (Ordnance Survey Only)","Industrial Support","Cooling Tower",""
"OI13","Solar Panel / Waterwheel","O","I","13","","Other (Ordnance Survey Only)","Industrial Support","Solar Panel / Waterwheel",""
"OI14","Telephone Pole / Post","O","I","14","","Other (Ordnance Survey Only)","Industrial Support","Telephone Pole / Post",""
"OI15","Electricity Distribution Pole / Pylon","O","I","15","","Other (Ordnance Survey Only)","Industrial Support","Electricity Distribution Pole / Pylon",""
"ON","Significant Natural Object","O","N","","","Other (Ordnance Survey Only)","Significant Natural Object","",""
"ON01","Boundary / Significant / Historic Tree / Pollard","O","N","01","","Other (Ordnance Survey Only)","Significant Natural Object","Boundary / Significant / Historic Tree / Pollard",""
"ON02","Boundary / Significant Rock / Boulder","O","N","02","","Other (Ordnance Survey Only)","Significant Natural Object","Boundary / Significant Rock / Boulder",""
"ON03","Natural Hole (Blow / Shake / Swallow)","O","N","03","","Other (Ordnance Survey Only)","Significant Natural Object","Natural Hole (Blow / Shake / Swallow)",""
"OO","Ornamental / Cultural Object","O","O","","","Other (Ordnance Survey Only)","Ornamental / Cultural Object","",""
"OO02","Mausoleum / Tomb / Grave","O","O","02","","Other (Ordnance Survey Only)","Ornamental / Cultural Object","Mausoleum / Tomb / Grave",""
