"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CI01SR","Sugar Refinery","C","I","01","SR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Sugar Refinery"
"CI01SW","Steel Works","C","I","01","SW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Steel Works"
"CI01TL","Timber Mill","C","I","01","TL","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Timber Mill"
"CI01WN","Winery","C","I","01","WN","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Winery"
"CI02","Mineral / Ore Working / Quarry / Mine","C","I","02","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine",""
"CI02MA","Mineral Mining / Active","C","I","02","MA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Mining / Active"
"CI02MD","Mineral Distribution / Storage","C","I","02","MD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Distribution / Storage"
"CI02MP","Mineral Processing","C","I","02","MP","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Processing"
"CI02OA","Oil / Gas Extraction / Active","C","I","02","OA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Oil / Gas Extraction / Active"
"CI02QA","Mineral Quarrying / Open Extraction / Active","C","I","02","QA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Mineral / Ore Working / Quarry / Mine","Mineral Quarrying / Open Extraction / Active"
"CI03","Workshop / Light Industrial","C","I","03","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Workshop / Light Industrial",""
"CI03GA","Servicing Garage","C","I","03","GA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Workshop / Light Industrial","Servicing Garage"
"CI04","Warehouse / Store / Storage Depot","C","I","04","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot",""
"CI04CS","Crop Handling / Storage","C","I","04","CS","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Crop Handling / Storage"
"CI04PL","Postal Sorting / Distribution","C","I","04","PL","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Postal Sorting / Distribution"
"CI04SO","Solid Fuel Storage","C","I","04","SO","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Solid Fuel Storage"
"CI04TS","Timber Storage","C","I","04","TS","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Warehouse / Store / Storage Depot","Timber Storage"
"CI05","Wholesale Distribution","C","I","05","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Wholesale Distribution",""
"CI05SF","Solid Fuel Distribution","C","I","05","SF","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Wholesale Distribution","Solid Fuel Distribution"
"CI05TD","Timber Distribution","C","I","05","TD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Wholesale Distribution","Timber Distribution"
"CI06","Recycling Plant","C","I","06","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Recycling Plant",""
"CI07","Incinerator / Waste Transfer Station","C","I","07","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Incinerator / Waste Transfer Station",""
"CI08","Maintenance Depot","C","I","08","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Maintenance Depot",""
"CL","Leisure - Applicable to recreational sites and enterprises","C","L","","","Commercial","Leisure - Applicable to recreational sites and enterprises","",""
"CL01","Amusements","C","L","01","","Commercial","Leisure - Applicable to recreational sites and enterprises","Amusements",""
"CL01LP","Leisure Pier","C","L","01","LP","Commercial","Leisure - Applicable to recreational sites and enterprises","Amusements","Leisure Pier"
"CL02","Holiday / Campsite","C","L","02","","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite",""
"CL02CG","Camping","C","L","02","CG","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Camping"
"CL02CV","Caravanning","C","L","02","CV","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Caravanning"
"CL02HA","Holiday Accommodation","C","L","02","HA","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Holiday Accommodation"
"CL02HO","Holiday Centre","C","L","02","HO","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Holiday Centre"
"CL02YC","Youth Organisation Camp","C","L","02","YC","Commercial","Leisure - Applicable to recreational sites and enterprises","Holiday / Campsite","Youth Organisation Camp"
"CL03","Library","C","L","03","","Commercial","Leisure - Applicable to recreational sites and enterprises","Library",""
"CL03RR","Reading Room","C","L","03","RR","Commercial","Leisure - Applicable to recreational sites and enterprises","Library","Reading Room"
"CL04","Museum / Gallery","C","L","04","","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery",""
"CL04AC","Art Centre / Gallery","C","L","04","AC","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Art Centre / Gallery"
"CL04AM","Aviation Museum","C","L","04","AM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Aviation Museum"
"CL04HG","Heritage Centre","C","L","04","HG","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Heritage Centre"
"CL04IM","Industrial Museum","C","L","04","IM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Industrial Museum"
"CL04MM","Military Museum","C","L","04","MM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Military Museum"
"CL04SM","Science Museum","C","L","04","SM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Science Museum"
"CL04TM","Transport Museum","C","L","04","TM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Transport Museum"
"CL04NM","Maritime Museum","C","L","04","NM","Commercial","Leisure - Applicable to recreational sites and enterprises","Museum / Gallery","Maritime Museum"
"CL06","Indoor / Outdoor Leisure / Sporting Activity / Centre","C","L","06","","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre",""
"CL06AH","Athletics Facility","C","L","06","AH","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Athletics Facility"
"CL06BF","Bowls Facility","C","L","06","BF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Bowls Facility"
